,LoanAmount,Loan_Amount_Term,Credit_History,LoanAmountLog,TotalIncome,Ratio,Male,Married Yes,1,2,3+,Self-Employed Yes,Not Graduate,Semiurban,Urban,LoanStatus Yes
23,112.0,360.0,0.0,4.718498871295094,5282.0,0.021204089360090876,1,1,0,1,0,0,1,0,0,0
24,151.0,360.0,1.0,5.017279836814924,6642.0,0.02273411623005119,1,1,1,0,0,0,0,1,0,0
25,191.0,360.0,1.0,5.25227342804663,9560.0,0.01997907949790795,1,1,0,0,0,1,0,1,0,1
26,122.0,360.0,1.0,4.804021044733257,5052.0,0.02414885193982581,1,1,0,0,0,0,0,1,0,1
27,110.0,360.0,1.0,4.700480365792417,5266.0,0.020888720091150777,1,1,0,1,0,0,1,0,1,1
28,35.0,360.0,1.0,3.5553480614894135,1442.0,0.024271844660194174,1,0,0,0,0,0,1,0,1,0
29,120.0,360.0,1.0,4.787491742782046,5833.0,0.020572604148808505,0,0,0,1,0,0,0,1,0,1
30,201.0,360.0,1.0,5.303304908059076,7535.0,0.026675514266755143,1,1,1,0,0,0,0,0,1,0
31,74.0,360.0,1.0,4.30406509320417,3167.0,0.023365961477739186,1,0,0,0,0,0,0,0,1,0
32,106.0,360.0,1.0,4.663439094112067,4692.0,0.022591645353793693,1,0,1,0,0,1,0,0,0,0
33,114.0,360.0,1.0,4.736198448394496,5167.0,0.022063092703696534,1,1,0,0,0,0,0,1,0,1
34,320.0,360.0,1.0,5.768320995793772,15500.0,0.02064516129032258,1,0,0,0,1,0,0,0,0,0
35,130.0,360.0,1.0,4.867534450455582,4342.0,0.029940119760479042,1,1,0,0,0,0,0,0,1,1
36,100.0,360.0,0.0,4.605170185988092,3158.0,0.031665611146295125,1,1,0,0,0,0,0,0,1,0
37,144.0,360.0,1.0,4.969813299576001,5126.0,0.02809207959422552,0,1,0,0,0,0,0,1,0,1
38,184.0,360.0,1.0,5.214935757608986,11376.0,0.01617440225035162,1,0,0,0,0,0,0,0,1,1
39,110.0,360.0,1.0,4.700480365792417,5416.0,0.02031019202363368,1,0,0,0,0,0,1,1,0,1
40,80.0,360.0,1.0,4.382026634673881,3600.0,0.022222222222222223,1,0,0,0,0,0,0,0,1,0
41,47.0,360.0,1.0,3.8501476017100584,3013.0,0.015599070693660804,1,0,0,0,0,0,0,0,1,1
42,75.0,360.0,1.0,4.31748811353631,2400.0,0.03125,1,1,0,0,0,0,0,0,1,1
43,134.0,360.0,1.0,4.897839799950911,6277.0,0.021347777600764697,1,1,0,0,0,0,0,1,0,1
44,96.0,360.0,1.0,4.564348191467836,4695.0,0.020447284345047924,1,1,0,0,0,1,1,0,1,1
45,88.0,360.0,1.0,4.477336814478207,3410.0,0.025806451612903226,0,0,0,0,0,0,0,0,1,1
46,44.0,360.0,1.0,3.784189633918261,5649.0,0.007788989201628607,1,1,1,0,0,0,0,0,1,1
47,144.0,360.0,1.0,4.969813299576001,5821.0,0.02473801752276241,1,1,0,0,0,0,0,0,1,1
48,120.0,360.0,0.0,4.787491742782046,6085.0,0.01972062448644207,0,1,0,0,0,0,0,0,1,0
49,144.0,360.0,1.0,4.969813299576001,6275.0,0.022948207171314742,0,0,0,0,0,0,0,1,0,1
50,100.0,360.0,1.0,4.605170185988092,3572.0,0.027995520716685332,0,1,0,0,0,0,1,1,0,1
51,120.0,360.0,1.0,4.787491742782046,3086.0,0.03888528839922229,0,0,0,0,0,0,0,1,0,1
52,112.0,360.0,1.0,4.718498871295094,4230.0,0.026477541371158392,0,0,0,0,0,0,0,1,0,0
53,134.0,360.0,1.0,4.897839799950911,4616.0,0.02902946273830156,1,1,0,1,0,0,0,0,1,0
54,286.0,360.0,0.0,5.655991810819852,11500.0,0.024869565217391306,0,1,1,0,0,1,0,0,1,0
55,97.0,360.0,1.0,4.574710978503383,3875.0,0.02503225806451613,1,1,0,1,0,0,0,1,0,1
56,96.0,360.0,1.0,4.564348191467836,3723.0,0.0257856567284448,1,1,0,0,0,0,0,1,0,1
57,135.0,360.0,1.0,4.90527477843843,5566.0,0.024254401724757457,1,1,0,0,0,0,0,0,0,0
58,180.0,360.0,1.0,5.19295685089021,10330.0,0.017424975798644726,1,1,1,0,0,0,0,0,1,1
59,144.0,360.0,1.0,4.969813299576001,6216.0,0.023166023166023165,1,1,0,1,0,0,1,0,1,1
60,120.0,360.0,1.0,4.787491742782046,6296.0,0.01905972045743329,1,1,0,0,0,0,0,0,1,1
61,99.0,360.0,1.0,4.59511985013459,3029.0,0.03268405414328161,1,1,0,0,1,0,0,0,1,1
62,165.0,180.0,0.0,5.10594547390058,6058.0,0.02723671178606801,1,1,0,0,0,1,1,0,0,0
63,130.0,360.0,0.0,4.867534450455582,4945.0,0.0262891809908999,1,1,1,0,0,0,0,0,0,0
64,116.0,360.0,0.0,4.7535901911063645,4166.0,0.02784445511281805,0,0,0,0,0,0,0,1,0,0
65,258.0,360.0,1.0,5.552959584921617,10321.0,0.024997577754093597,1,1,0,0,0,0,0,1,0,0
66,126.0,180.0,0.0,4.836281906951478,5454.0,0.0231023102310231,1,0,0,0,0,0,1,0,1,0
67,312.0,360.0,1.0,5.7430031878094825,10750.0,0.02902325581395349,1,1,1,0,0,0,0,0,1,1
68,125.0,60.0,1.0,4.8283137373023015,7100.0,0.017605633802816902,1,1,0,0,1,1,1,0,1,1
69,136.0,360.0,0.0,4.912654885736052,4300.0,0.03162790697674418,0,0,0,0,0,0,0,1,0,0
70,172.0,360.0,1.0,5.147494476813453,6274.0,0.027414727446605038,1,1,0,0,0,0,0,0,1,1
71,97.0,360.0,1.0,4.574710978503383,3750.0,0.025866666666666666,1,1,0,1,0,1,1,1,0,1
72,81.0,300.0,1.0,4.394449154672439,3500.0,0.023142857142857142,1,0,0,0,0,0,0,1,0,1
73,95.0,360.0,0.0,4.553876891600541,4755.0,0.019978969505783387,1,1,0,0,1,0,1,1,0,0
74,187.0,360.0,1.0,5.231108616854587,7040.0,0.0265625,1,1,0,0,1,1,0,1,0,1
75,113.0,480.0,1.0,4.727387818712341,3750.0,0.030133333333333335,1,0,0,0,0,0,0,0,1,0
76,176.0,360.0,1.0,5.170483995038151,8500.0,0.020705882352941178,1,0,0,0,0,0,0,0,1,0
77,110.0,360.0,1.0,4.700480365792417,4022.0,0.02734957732471407,1,1,1,0,0,1,0,0,1,0
78,180.0,300.0,0.0,5.19295685089021,7167.0,0.025115110925073254,1,1,0,0,1,0,0,1,0,0
79,130.0,360.0,1.0,4.867534450455582,5499.0,0.02364066193853428,1,1,0,0,1,1,1,1,0,1
80,111.0,360.0,1.0,4.709530201312334,3846.0,0.028861154446177848,0,0,0,0,0,0,0,1,0,1
81,157.5,360.0,1.0,5.059425458265688,2395.0,0.06576200417536535,1,1,1,0,0,1,0,1,0,1
82,167.0,360.0,1.0,5.117993812416755,3259.0,0.0512427124884934,0,1,0,1,0,0,0,0,1,0
83,265.0,360.0,1.0,5.579729825986222,8250.0,0.03212121212121212,1,1,0,0,0,0,0,1,0,0
84,50.0,240.0,1.0,3.912023005428146,3988.0,0.012537612838515547,1,1,1,0,0,0,0,0,1,1
85,136.0,360.0,1.0,4.912654885736052,4897.0,0.027772105370635083,1,0,0,0,0,0,0,1,0,1
86,99.0,360.0,1.0,4.59511985013459,5333.0,0.0185636602287643,1,1,0,1,0,0,1,1,0,1
87,104.0,360.0,1.0,4.6443908991413725,4618.0,0.02252057167605024,1,1,0,0,0,0,0,1,0,1
88,210.0,360.0,1.0,5.3471075307174685,8566.0,0.02451552650011674,1,0,0,0,0,0,0,0,1,1
89,175.0,360.0,1.0,5.1647859739235145,9862.0,0.017744879334820524,1,1,0,0,0,0,0,1,0,1
90,131.0,360.0,1.0,4.875197323201151,5858.0,0.022362581085694777,1,1,0,0,0,0,0,1,0,1
91,188.0,180.0,1.0,5.236441962829949,11904.0,0.015793010752688172,1,1,0,1,0,0,0,1,0,1
92,81.0,360.0,1.0,4.394449154672439,5093.0,0.015904182210877676,1,1,0,1,0,0,1,0,1,1
93,122.0,360.0,1.0,4.804021044733257,4133.0,0.029518509557222357,1,0,0,0,0,0,0,1,0,1
94,25.0,120.0,1.0,3.2188758248682006,3620.0,0.006906077348066298,1,0,0,0,0,0,1,1,0,1
95,130.0,360.0,1.0,4.867534450455582,6782.0,0.019168386906517253,1,0,0,0,0,0,0,0,1,0
96,137.0,360.0,1.0,4.919980925828125,4786.0,0.028625156707062265,0,1,0,0,0,0,0,1,0,1
97,50.0,360.0,1.0,3.912023005428146,2974.0,0.016812373907195696,1,1,0,0,0,0,0,1,0,1
98,115.0,180.0,1.0,4.74493212836325,4188.0,0.027459407831900668,1,1,0,0,0,0,1,1,0,1
99,131.0,360.0,1.0,4.875197323201151,5300.0,0.02471698113207547,1,1,0,0,0,0,0,1,0,1
100,133.0,180.0,1.0,4.890349128221754,7551.0,0.01761356111773275,1,1,0,1,0,0,1,0,1,1
101,151.0,360.0,1.0,5.017279836814924,8649.0,0.017458665741704245,1,0,0,0,0,0,0,1,0,1
102,130.0,360.0,1.0,4.867534450455582,13650.0,0.009523809523809525,1,1,0,0,0,0,0,0,1,1
103,130.0,360.0,1.0,4.867534450455582,8235.0,0.015786278081360048,1,1,0,0,0,0,0,1,0,1
104,160.0,360.0,1.0,5.075173815233827,4570.0,0.0350109409190372,1,1,0,0,0,0,0,0,1,1
105,100.0,360.0,1.0,4.605170185988092,4082.0,0.02449779519843214,1,1,1,0,0,0,0,0,1,1
106,225.0,360.0,1.0,5.41610040220442,12543.0,0.01793829227457546,1,1,0,1,0,0,0,0,1,1
107,120.0,360.0,1.0,4.787491742782046,7333.0,0.01636438019909996,1,0,0,0,0,0,1,0,0,0
108,216.0,360.0,0.0,5.375278407684165,7400.0,0.02918918918918919,1,1,0,1,0,0,0,0,1,0
109,94.0,480.0,1.0,4.543294782270004,2825.0,0.03327433628318584,1,1,0,0,1,0,1,1,0,1
110,136.0,360.0,1.0,4.912654885736052,5316.0,0.025583145221971408,1,0,0,0,0,0,0,0,1,1
111,139.0,360.0,1.0,4.9344739331306915,5262.0,0.026415811478525276,0,1,0,0,0,0,0,1,0,1
112,152.0,360.0,0.0,5.0238805208462765,7686.0,0.019776216497527973,1,1,0,0,0,0,1,0,0,0
113,157.5,360.0,1.0,5.059425458265688,7451.0,0.021138102268151927,0,0,1,0,0,1,0,1,0,1
114,118.0,360.0,1.0,4.770684624465665,5050.0,0.023366336633663366,1,0,0,0,0,0,0,1,0,1
115,185.0,180.0,1.0,5.220355825078324,14583.0,0.012686004251525749,1,1,1,0,0,0,0,0,0,1
116,154.0,360.0,1.0,5.0369526024136295,5450.0,0.028256880733944955,0,1,0,0,0,0,0,1,0,1
117,85.0,360.0,1.0,4.442651256490317,3612.0,0.02353266888150609,1,1,1,0,0,0,0,0,1,1
118,175.0,360.0,1.0,5.1647859739235145,7710.0,0.022697795071335927,1,1,0,0,0,0,0,0,0,0
119,259.0,360.0,1.0,5.556828061699537,10408.0,0.024884704073789392,0,0,0,0,0,0,0,0,1,1
120,180.0,360.0,1.0,5.19295685089021,8334.0,0.02159827213822894,1,1,0,0,0,0,0,0,0,1
121,44.0,360.0,1.0,3.784189633918261,4166.0,0.01056168987037926,0,0,0,0,0,0,0,1,0,1
122,137.0,360.0,0.0,4.919980925828125,11117.0,0.01232346856166232,0,0,0,0,0,0,0,1,0,1
123,81.0,360.0,1.0,4.394449154672439,2957.0,0.027392627663172135,1,1,0,1,0,0,0,1,0,1
124,194.0,360.0,1.0,5.267858159063328,6314.0,0.030725372188786824,1,1,0,0,0,0,1,0,0,1
125,93.0,360.0,1.0,4.532599493153256,3692.0,0.025189599133261104,0,0,0,0,0,0,0,0,0,1
126,370.0,360.0,1.0,5.91350300563827,23803.0,0.015544259127000798,1,1,0,0,1,0,0,0,0,1
127,130.0,360.0,1.0,4.867534450455582,5505.0,0.023614895549500452,1,0,0,0,0,0,0,0,0,1
128,160.0,180.0,0.0,5.075173815233827,14363.0,0.011139734038849823,1,1,1,0,0,1,0,0,1,0
129,182.0,360.0,1.0,5.204006687076795,8649.0,0.021042895132385248,1,1,0,0,0,0,0,0,0,0
130,650.0,480.0,1.0,6.476972362889683,20166.0,0.03223247049489239,1,0,0,0,0,1,0,0,1,1
131,74.0,360.0,1.0,4.30406509320417,3943.0,0.018767435962465127,1,0,0,0,0,0,0,0,1,1
132,70.0,360.0,1.0,4.248495242049359,2718.0,0.025754231052244298,1,0,0,0,0,0,0,1,0,1
133,25.0,120.0,1.0,3.2188758248682006,3459.0,0.007227522405319456,1,1,0,0,0,1,0,1,0,1
134,102.0,360.0,1.0,4.624972813284271,4895.0,0.020837589376915218,1,0,0,0,0,0,0,1,0,1
135,290.0,360.0,1.0,5.66988092298052,11750.0,0.02468085106382979,1,1,0,0,1,0,0,1,0,0
136,84.0,360.0,1.0,4.430816798843313,4583.0,0.0183286057167794,0,1,0,0,0,0,0,0,0,0
137,88.0,360.0,1.0,4.477336814478207,6816.0,0.012910798122065728,1,1,0,1,0,1,0,0,1,1
138,242.0,360.0,0.0,5.488937726156687,14999.0,0.016134408960597372,1,0,0,0,0,0,0,1,0,0
139,129.0,360.0,1.0,4.859812404361672,5630.0,0.022912966252220248,1,1,0,1,0,0,1,0,0,0
140,185.0,360.0,1.0,5.220355825078324,7125.0,0.025964912280701753,1,1,0,1,0,0,0,0,0,0
141,168.0,360.0,1.0,5.123963979403259,5417.0,0.031013476093778844,1,0,0,0,0,0,0,0,1,1
142,175.0,180.0,1.0,5.1647859739235145,6950.0,0.025179856115107913,1,0,0,0,0,1,0,1,0,1
143,122.0,360.0,1.0,4.804021044733257,4732.0,0.02578191039729501,1,1,0,0,0,0,0,1,0,1
144,187.0,180.0,1.0,5.231108616854587,11757.0,0.01590541804882198,1,1,0,1,0,0,0,0,1,1
145,100.0,360.0,1.0,4.605170185988092,6816.0,0.014671361502347418,0,1,0,0,0,0,0,1,0,1
146,70.0,360.0,1.0,4.248495242049359,14866.0,0.0047087313332436435,0,1,0,1,0,0,0,0,1,1
147,30.0,360.0,1.0,3.4011973816621555,2963.0,0.010124873439082012,1,1,1,0,0,0,0,0,1,1
148,225.0,360.0,1.0,5.41610040220442,11666.0,0.019286816389507973,0,0,0,0,0,0,0,0,0,0
149,125.0,360.0,1.0,4.8283137373023015,5690.0,0.021968365553602813,1,1,0,0,0,0,0,1,0,1
150,118.0,360.0,0.0,4.770684624465665,6277.0,0.018798789230524134,1,0,0,0,0,0,0,0,0,0
151,152.0,360.0,1.0,5.0238805208462765,6327.0,0.024024024024024024,1,1,0,0,0,1,0,0,0,1
152,244.0,360.0,1.0,5.497168225293202,9166.0,0.026620117826751038,1,0,0,0,0,0,0,0,1,0
153,113.0,360.0,1.0,4.727387818712341,2281.0,0.049539675580885574,1,1,0,1,0,0,1,0,0,0
154,50.0,360.0,1.0,3.912023005428146,3254.0,0.015365703749231715,1,0,0,0,0,0,0,0,1,1
155,600.0,180.0,0.0,6.396929655216146,39999.0,0.015000375009375235,1,1,0,0,1,0,0,1,0,1
156,160.0,360.0,1.0,5.075173815233827,6000.0,0.02666666666666667,1,1,1,0,0,0,0,0,0,1
157,187.0,360.0,1.0,5.231108616854587,9538.0,0.019605787376808556,1,1,1,0,0,0,0,0,1,1
158,120.0,360.0,1.0,4.787491742782046,5063.0,0.023701362828362632,1,0,0,0,0,0,0,0,0,1
159,255.0,360.0,1.0,5.541263545158426,10208.0,0.02498040752351097,1,1,0,0,0,0,0,1,0,1
160,98.0,360.0,1.0,4.584967478670572,2904.0,0.0337465564738292,1,1,0,0,0,0,1,1,0,1
161,275.0,360.0,1.0,5.616771097666572,7933.0,0.03466532207235598,1,1,0,0,0,0,0,0,1,0
162,121.0,360.0,0.0,4.795790545596741,4369.0,0.027695124742504004,1,1,1,0,0,0,0,1,0,0
163,158.0,360.0,1.0,5.062595033026967,5614.0,0.028143925899536872,1,1,0,1,0,0,0,0,0,1
164,75.0,180.0,1.0,4.31748811353631,9323.0,0.008044620830204869,1,1,0,0,0,0,0,0,1,1
165,182.0,360.0,1.0,5.204006687076795,6873.0,0.02648043067074058,1,1,0,0,0,0,0,0,0,1
166,112.0,360.0,1.0,4.718498871295094,4583.0,0.02443814095570587,0,1,0,0,0,0,0,0,0,0
167,129.0,360.0,1.0,4.859812404361672,5772.0,0.02234927234927235,1,1,0,0,0,0,0,0,0,1
168,63.0,480.0,0.0,4.143134726391533,2237.0,0.028162717925793473,1,0,0,0,0,0,0,1,0,0
169,200.0,360.0,1.0,5.298317366548036,8000.0,0.025,1,1,0,1,0,0,0,1,0,1
170,95.0,360.0,1.0,4.553876891600541,3589.0,0.026469768737809974,1,1,0,0,0,0,1,0,0,1
171,700.0,300.0,1.0,6.551080335043404,51763.0,0.013523172922744044,1,1,0,0,1,0,0,0,1,1
172,81.0,180.0,1.0,4.394449154672439,3522.0,0.022998296422487224,1,1,0,0,1,0,1,0,0,0
173,187.0,360.0,1.0,5.231108616854587,11333.0,0.016500485308391422,1,1,0,0,0,0,0,1,0,1
174,87.0,360.0,1.0,4.465908118654584,5080.0,0.017125984251968505,1,1,0,0,0,1,1,1,0,0
175,116.0,360.0,1.0,4.7535901911063645,5461.0,0.021241530855154733,1,1,0,0,0,0,0,0,0,1
176,101.0,360.0,1.0,4.61512051684126,3664.0,0.027565502183406112,1,1,0,1,0,0,0,0,0,1
177,495.0,360.0,0.0,6.20455776256869,16816.0,0.029436251189343482,1,1,0,0,1,0,0,1,0,0
178,116.0,360.0,1.0,4.7535901911063645,3750.0,0.030933333333333334,1,1,1,0,0,0,0,1,0,1
179,102.0,480.0,0.0,4.624972813284271,3784.0,0.026955602536997886,1,0,0,0,0,0,1,0,1,0
180,180.0,360.0,0.0,5.19295685089021,13650.0,0.013186813186813187,1,1,1,0,0,0,0,0,1,0
181,67.0,360.0,1.0,4.204692619390966,6979.0,0.00960022925920619,1,0,0,0,0,0,0,0,0,0
182,73.0,180.0,1.0,4.290459441148391,4600.0,0.015869565217391305,1,1,0,0,0,0,0,1,0,1
183,260.0,360.0,1.0,5.560681631015528,33846.0,0.00768185309933227,1,1,1,0,0,0,0,1,0,0
184,108.0,360.0,1.0,4.68213122712422,3625.0,0.029793103448275862,0,1,0,0,0,0,0,1,0,1
185,120.0,360.0,1.0,4.787491742782046,43897.0,0.0027336720049206094,1,1,0,0,0,1,0,1,0,1
186,66.0,300.0,0.0,4.189654742026425,2178.0,0.030303030303030304,1,1,1,0,0,1,0,0,0,0
187,58.0,360.0,1.0,4.060443010546419,4521.0,0.012829020128290201,1,1,0,0,0,0,0,0,0,1
188,168.0,360.0,1.0,5.123963979403259,5970.0,0.02814070351758794,1,1,0,0,0,1,0,0,0,1
189,188.0,180.0,1.0,5.236441962829949,9328.0,0.020154373927958835,1,1,0,0,0,0,0,0,0,1
190,48.0,360.0,1.0,3.871201010907891,4885.0,0.009825997952917094,1,0,0,0,0,0,1,0,0,1
191,164.0,360.0,1.0,5.099866427824199,12000.0,0.013666666666666667,1,0,0,0,0,0,0,1,0,0
192,160.0,360.0,1.0,5.075173815233827,6033.0,0.026520802254268193,1,1,0,0,0,0,1,0,1,0
193,76.0,360.0,1.0,4.330733340286331,3858.0,0.019699326075686883,1,0,0,0,0,0,0,1,0,1
194,120.0,360.0,1.0,4.787491742782046,4191.0,0.02863278453829635,1,0,0,0,0,0,0,0,0,1
195,170.0,360.0,1.0,5.135798437050262,5708.0,0.029782761037140854,1,1,1,0,0,0,0,1,0,0
196,187.0,360.0,1.0,5.231108616854587,12083.0,0.015476289001075892,1,0,0,0,0,0,0,0,0,1
197,120.0,360.0,1.0,4.787491742782046,4272.0,0.028089887640449437,0,0,0,0,0,0,1,0,1,1
198,113.0,360.0,1.0,4.727387818712341,6232.0,0.01813222079589217,0,1,0,0,0,0,0,1,0,1
199,83.0,360.0,1.0,4.418840607796598,11000.0,0.007545454545454545,1,0,0,0,0,1,0,0,1,0
200,90.0,360.0,1.0,4.499809670330265,5100.0,0.01764705882352941,1,1,1,0,0,0,1,1,0,1
201,166.0,360.0,0.0,5.111987788356544,4923.0,0.03371927686370099,1,0,0,1,0,0,0,1,0,1
202,113.0,180.0,1.0,4.727387818712341,3992.0,0.028306613226452906,1,1,0,0,1,0,1,0,1,0
203,135.0,360.0,1.0,4.90527477843843,4583.0,0.029456687759109753,1,1,1,0,0,0,1,0,1,1
204,124.0,360.0,1.0,4.820281565605037,3917.0,0.03165688026550932,1,1,0,1,0,0,1,1,0,1
205,120.0,360.0,1.0,4.787491742782046,4408.0,0.02722323049001815,0,0,0,0,0,0,1,1,0,1
206,80.0,360.0,1.0,4.382026634673881,3244.0,0.02466091245376079,0,0,0,0,0,0,0,0,1,1
207,55.0,360.0,1.0,4.007333185232471,6506.0,0.008453735013833385,1,0,0,0,0,0,1,0,0,1
208,59.0,360.0,1.0,4.07753744390572,2479.0,0.02379991932230738,1,0,0,0,0,0,0,0,1,1
209,127.0,360.0,1.0,4.844187086458591,3418.0,0.0371562317144529,1,0,0,0,0,0,0,1,0,0
210,214.0,360.0,1.0,5.365976015021851,10000.0,0.0214,0,0,0,0,0,0,0,1,0,0
211,128.0,360.0,0.0,4.852030263919617,4680.0,0.02735042735042735,1,1,0,0,1,0,0,1,0,0
212,240.0,360.0,1.0,5.480638923341991,7787.0,0.030820598433286245,1,1,1,0,0,1,0,0,1,1
213,130.0,360.0,1.0,4.867534450455582,5703.0,0.02279502016482553,1,1,0,0,1,1,1,0,0,1
214,137.0,360.0,1.0,4.919980925828125,6194.0,0.022118178882789795,1,1,0,0,0,0,0,0,1,1
215,100.0,360.0,1.0,4.605170185988092,4833.0,0.02069108214359611,1,1,0,0,1,0,1,1,0,1
216,135.0,360.0,1.0,4.90527477843843,1950.0,0.06923076923076923,1,1,0,0,0,0,0,0,0,0
217,131.0,360.0,1.0,4.875197323201151,5502.0,0.023809523809523808,1,1,0,0,0,0,0,1,0,1
218,72.0,360.0,0.0,4.276666119016055,5000.0,0.0144,1,1,0,1,0,0,0,1,0,0
219,127.0,360.0,1.0,4.844187086458591,6666.0,0.019051905190519053,0,1,0,1,0,0,0,1,0,1
220,60.0,360.0,0.0,4.0943445622221,2221.0,0.0270148581719946,1,1,0,0,0,0,0,0,1,0
221,116.0,360.0,1.0,4.7535901911063645,5726.0,0.020258470136220747,1,1,0,1,0,0,0,1,0,1
222,144.0,360.0,1.0,4.969813299576001,5762.0,0.024991322457480043,1,0,0,0,0,0,0,1,0,1
223,175.0,360.0,1.0,5.1647859739235145,8588.0,0.0203772706101537,1,1,0,0,0,0,0,1,0,1
224,128.0,360.0,1.0,4.852030263919617,6250.0,0.02048,1,1,0,0,0,0,0,1,0,1
225,170.0,360.0,1.0,5.135798437050262,3250.0,0.052307692307692305,1,1,0,0,0,0,0,0,0,0
226,138.0,360.0,1.0,4.927253685157205,4735.0,0.02914466737064414,1,1,0,0,0,1,1,0,1,0
227,210.0,360.0,1.0,5.3471075307174685,7945.0,0.02643171806167401,1,1,0,1,0,0,0,1,0,1
228,158.0,480.0,1.0,5.062595033026967,4758.0,0.0332072299285414,1,1,0,0,0,0,0,1,0,1
229,200.0,360.0,1.0,5.298317366548036,6400.0,0.03125,1,0,0,0,0,1,0,0,0,1
230,104.0,360.0,1.0,4.6443908991413725,4545.0,0.02288228822882288,1,1,1,0,0,0,0,1,0,1
231,42.0,180.0,1.0,3.7376696182833684,3716.0,0.011302475780409042,1,1,0,0,0,0,0,0,0,1
232,120.0,360.0,1.0,4.787491742782046,5787.0,0.020736132711249352,1,0,0,0,0,0,1,0,0,1
233,280.0,360.0,1.0,5.634789603169249,8333.0,0.03360134405376215,0,0,0,0,0,0,0,1,0,1
234,140.0,360.0,1.0,4.941642422609304,4934.0,0.02837454398054317,1,1,1,0,0,0,0,1,0,1
235,170.0,360.0,1.0,5.135798437050262,6760.0,0.02514792899408284,1,1,1,0,0,0,0,0,0,1
236,255.0,360.0,1.0,5.541263545158426,5746.0,0.04437869822485207,1,1,0,0,0,0,0,0,1,0
237,122.0,360.0,1.0,4.804021044733257,3463.0,0.03522956973722206,0,0,0,0,0,1,0,0,1,1
238,112.0,360.0,1.0,4.718498871295094,3812.0,0.02938090241343127,0,0,1,0,0,0,0,0,0,1
239,96.0,360.0,1.0,4.564348191467836,3315.0,0.02895927601809955,1,1,1,0,0,0,0,1,0,1
240,120.0,360.0,1.0,4.787491742782046,10819.0,0.01109159811442832,1,1,0,1,0,0,0,0,0,1
241,140.0,180.0,1.0,4.941642422609304,4493.0,0.031159581571333184,1,1,1,0,0,0,1,0,1,0
242,155.0,60.0,1.0,5.043425116919247,8666.0,0.017885991230094624,1,0,0,0,0,0,0,0,1,1
243,108.0,360.0,1.0,4.68213122712422,7550.0,0.014304635761589404,1,1,0,1,0,1,0,0,0,1
244,123.0,360.0,1.0,4.812184355372417,7823.0,0.01572286846478333,1,1,0,0,0,0,1,1,0,1
245,120.0,180.0,1.0,4.787491742782046,10383.0,0.011557353366079168,1,0,0,0,0,1,0,0,1,0
